                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.00016,                0.00506,                  9e-05,                  7e-05,                    nan,                    nan,                    nan,               0.070205,              0.0033105,              0.0033105
                      2,                    nan,                    nan,                    nan,                0.00163,                0.03423,                0.00123,                0.00072,                    nan,                    nan,                    nan,               0.040123,              0.0065616,              0.0065616
                      3,                    nan,                    nan,                    nan,                0.00168,                0.03732,                0.00127,                0.00073,                    nan,                    nan,                    nan,              0.0099585,              0.0097302,              0.0097302
                      4,                    nan,                    nan,                    nan,                0.00173,                0.03828,                0.00133,                0.00077,                    nan,                    nan,                    nan,              0.0096288,              0.0096288,              0.0096288
                      5,                    nan,                    nan,                    nan,                0.00178,                0.04112,                 0.0014,                0.00078,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                      6,                    nan,                    nan,                    nan,                0.00171,                0.03871,                0.00131,                0.00074,                    nan,                    nan,                    nan,              0.0093813,              0.0093813,              0.0093813
                      7,                    nan,                    nan,                    nan,                0.00171,                0.03668,                0.00136,                0.00077,                    nan,                    nan,                    nan,              0.0092575,              0.0092575,              0.0092575
                      8,                    nan,                    nan,                    nan,                0.00167,                 0.0361,                0.00131,                0.00075,                    nan,                    nan,                    nan,              0.0091337,              0.0091337,              0.0091337
                      9,                    nan,                    nan,                    nan,                 0.0017,                 0.0367,                0.00133,                0.00077,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
                     10,                    nan,                    nan,                    nan,                0.00173,                0.03765,                0.00135,                0.00078,                    nan,                    nan,                    nan,              0.0088863,              0.0088863,              0.0088863
                     11,                    nan,                    nan,                    nan,                0.00168,                0.03846,                0.00129,                0.00074,                    nan,                    nan,                    nan,              0.0087625,              0.0087625,              0.0087625
                     12,                    nan,                    nan,                    nan,                0.00176,                0.04039,                0.00138,                0.00079,                    nan,                    nan,                    nan,              0.0086388,              0.0086388,              0.0086388
                     13,                    nan,                    nan,                    nan,                0.00171,                 0.0367,                0.00136,                0.00079,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                     14,                    nan,                    nan,                    nan,                0.00172,                0.03711,                0.00134,                0.00078,                    nan,                    nan,                    nan,              0.0083913,              0.0083913,              0.0083913
                     15,                    nan,                    nan,                    nan,                 0.0017,                0.03755,                0.00134,                0.00078,                    nan,                    nan,                    nan,              0.0082675,              0.0082675,              0.0082675
                     16,                    nan,                    nan,                    nan,                0.00168,                0.03444,                0.00131,                0.00074,                    nan,                    nan,                    nan,              0.0081437,              0.0081437,              0.0081437
                     17,                    nan,                    nan,                    nan,                0.00176,                0.03725,                0.00138,                0.00079,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                     18,                    nan,                    nan,                    nan,                0.00176,                0.03731,                0.00138,                0.00079,                    nan,                    nan,                    nan,              0.0078963,              0.0078963,              0.0078963
                     19,                    nan,                    nan,                    nan,                0.00164,                0.03716,                0.00126,                0.00072,                    nan,                    nan,                    nan,              0.0077725,              0.0077725,              0.0077725
                     20,                    nan,                    nan,                    nan,                0.00186,                0.04089,                0.00145,                0.00083,                    nan,                    nan,                    nan,              0.0076488,              0.0076488,              0.0076488
                     21,                    nan,                    nan,                    nan,                0.00168,                0.03563,                 0.0013,                0.00075,                    nan,                    nan,                    nan,               0.007525,               0.007525,               0.007525
                     22,                    nan,                    nan,                    nan,                0.00174,                0.04123,                0.00134,                0.00075,                    nan,                    nan,                    nan,              0.0074013,              0.0074013,              0.0074013
                     23,                    nan,                    nan,                    nan,                0.00175,                0.03736,                0.00134,                0.00076,                    nan,                    nan,                    nan,              0.0072775,              0.0072775,              0.0072775
                     24,                    nan,                    nan,                    nan,                0.00176,                0.03869,                0.00139,                 0.0008,                    nan,                    nan,                    nan,              0.0071538,              0.0071538,              0.0071538
                     25,                    nan,                    nan,                    nan,                0.00176,                0.03989,                0.00135,                0.00076,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                     26,                    nan,                    nan,                    nan,                0.00166,                0.03701,                0.00132,                0.00077,                    nan,                    nan,                    nan,              0.0069063,              0.0069063,              0.0069063
                     27,                    nan,                    nan,                    nan,                0.00178,                0.03724,                 0.0014,                 0.0008,                    nan,                    nan,                    nan,              0.0067825,              0.0067825,              0.0067825
                     28,                    nan,                    nan,                    nan,                0.00172,                0.03788,                0.00135,                0.00076,                    nan,                    nan,                    nan,              0.0066587,              0.0066587,              0.0066587
                     29,                    nan,                    nan,                    nan,                0.00173,                 0.0409,                0.00137,                0.00078,                    nan,                    nan,                    nan,               0.006535,               0.006535,               0.006535
                     30,                    nan,                    nan,                    nan,                 0.0017,                0.03641,                0.00132,                0.00075,                    nan,                    nan,                    nan,              0.0064112,              0.0064112,              0.0064112
